,confer_num,confer_name,date,hwpLink,summary
64,051244,국회본회의_제391회_제2차,2021-09-08,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051244&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051244
65,051252,국회본회의_제391회_제3차,2021-09-09,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051252&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051252
66,051270,국회본회의_제391회_제4차,2021-09-13,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051270&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051270
67,051275,국회본회의_제391회_제5차,2021-09-14,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051275&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051275
68,051285,국회본회의_제391회_제6차,2021-09-15,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051285&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051285
69,051293,국회본회의_제391회_제7차,2021-09-16,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051293&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051293
70,051313,국회본회의_제391회_제8차,2021-09-28,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051313&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051313
71,051321,국회본회의_제391회_제9차,2021-09-29,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051321&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051321
72,051374,국회본회의_제391회_제10,2021-10-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051374&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051374
73,051437,국회본회의_제391회_제11,2021-11-11,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051437&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051437
74,051623,국회본회의_제391회_제12,2021-12-02,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=051623&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=051623
